book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
257845,https://www.goodreads.com/book/show/257845.True_Grit,True Grit (Paperback),Charles Portis,4.12,"50,566",1968,1628,fiction
22733729-the-long-way-to-a-small-angry-planet,https://www.goodreads.com/book/show/22733729-the-long-way-to-a-small-angry-planet,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers,4.15,"97,588",2014,1625,fiction
45289222-writers-lovers,https://www.goodreads.com/book/show/45289222-writers-lovers,Writers & Lovers (Hardcover),Lily King,4.07,"82,173",2020,1622,fiction
11559200-shadow-of-night,https://www.goodreads.com/book/show/11559200-shadow-of-night,"Shadow of Night (All Souls Trilogy, #2)",Deborah Harkness,4.04,"216,246",2012,1618,fiction
23919,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,The Complete Stories and Poems (Hardcover),Edgar Allan Poe,4.37,"238,070",1849,1617,fiction
36348525-severance,https://www.goodreads.com/book/show/36348525-severance,Severance (Hardcover),Ling  Ma,3.86,"55,506",2018,1617,fiction
122,https://www.goodreads.com/book/show/122.The_Power_of_One,"The Power of One (The Power of One, #1)",Bryce Courtenay,4.31,"84,952",1989,1616,fiction
32682,https://www.goodreads.com/book/show/32682.Patriot_Games,"Patriot Games (Jack Ryan, #1)",Tom Clancy,4.14,"200,371",1987,1616,fiction
24337,https://www.goodreads.com/book/show/24337.Ella_Enchanted,Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,3.98,"408,388",1997,1616,fiction
11925514-code-name-verity,https://www.goodreads.com/book/show/11925514-code-name-verity,Code Name Verity (Paperback),Elizabeth Wein,4.00,"110,495",2012,1615,fiction
61666,https://www.goodreads.com/book/show/61666.Contact,Contact (Mass Market Paperback),Carl Sagan,4.12,"134,690",1985,1615,fiction
20820994-i-ll-give-you-the-sun,https://www.goodreads.com/book/show/20820994-i-ll-give-you-the-sun,I'll Give You the Sun (Hardcover),Jandy Nelson,4.14,"292,174",2014,1614,fiction
5941114-the-likeness,https://www.goodreads.com/book/show/5941114-the-likeness,"The Likeness (Dublin Murder Squad, #2)",Tana French,4.04,"149,059",2008,1611,fiction
22232,https://www.goodreads.com/book/show/22232.Stargirl,"Stargirl (Stargirl, #1)",Jerry Spinelli,3.76,"316,026",2000,1609,fiction
54539,https://www.goodreads.com/book/show/54539.Silas_Marner,Silas Marner (Paperback),George Eliot,3.66,"80,940",1861,1607,fiction
13508607-the-secret-keeper,https://www.goodreads.com/book/show/13508607-the-secret-keeper,The Secret Keeper (Hardcover),Kate Morton,4.12,"149,815",2012,1607,fiction
14817,https://www.goodreads.com/book/show/14817.A_Scanner_Darkly,A Scanner Darkly (Paperback),Philip K. Dick,4.00,"105,880",1977,1605,fiction
9293020-the-elephant-tree,https://www.goodreads.com/book/show/9293020-the-elephant-tree,The Elephant Tree (Paperback),R.D. Ronald,4.19,"98,770",2010,1604,fiction
29580,https://www.goodreads.com/book/show/29580.Second_Foundation,Second Foundation (Foundation #3),Isaac Asimov,4.25,"162,234",1953,1600,fiction
17799,https://www.goodreads.com/book/show/17799.South_of_the_Border_West_of_the_Sun,"South of the Border, West of the Sun (Paperback)",Haruki Murakami,3.88,"99,259",1992,1598,fiction
34506,https://www.goodreads.com/book/show/34506.The_Light_Fantastic,"The Light Fantastic (Discworld, #2; Rincewind #2)",Terry Pratchett,3.96,"139,133",1986,1598,fiction
14864,https://www.goodreads.com/book/show/14864.Plain_Truth,Plain Truth (Hardcover),Jodi Picoult,3.97,"173,222",2000,1597,fiction
43521657-the-ten-thousand-doors-of-january,https://www.goodreads.com/book/show/43521657-the-ten-thousand-doors-of-january,The Ten Thousand Doors of January (Hardcover),Alix E. Harrow,4.06,"83,438",2019,1595,fiction
28815474-the-couple-next-door,https://www.goodreads.com/book/show/28815474-the-couple-next-door,The Couple Next Door (Hardcover),Shari Lapena,3.80,"420,656",2016,1592,fiction
