book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
9835731-the-hypnotist,https://www.goodreads.com/book/show/9835731-the-hypnotist,The Hypnotist (Hardcover),Lars Kepler,3.74,"56,938",2009,478,crime
49350,https://www.goodreads.com/book/show/49350.The_Concrete_Blonde,"The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3)",Michael Connelly,4.17,"60,001",1994,477,crime
64863,https://www.goodreads.com/book/show/64863.A_is_for_Alibi,"A is for Alibi (Kinsey Millhone, #1)",Sue Grafton,3.86,"171,841",1982,477,crime
13596166-joyland,https://www.goodreads.com/book/show/13596166-joyland,Joyland (Paperback),Stephen King,3.92,"139,464",2013,476,crime
215492,https://www.goodreads.com/book/show/215492.Lord_Edgware_Dies,"Lord Edgware Dies (Hercule Poirot, #9)",Agatha Christie,3.93,"38,699",1933,471,crime
17212231-inferno,https://www.goodreads.com/book/show/17212231-inferno,"Inferno (Robert Langdon, #4)",Dan Brown,3.86,"513,123",2013,469,crime
5358,https://www.goodreads.com/book/show/5358.The_Firm,The Firm (Paperback),Robin Waterfield,4.03,"599,167",1991,469,crime
52263433-the-secret-place,https://www.goodreads.com/book/show/52263433-the-secret-place,"The Secret Place (Dublin Murder Squad, #5)",Tana French,3.86,"72,381",2014,465,crime
28187230-the-woman-in-cabin-10,https://www.goodreads.com/book/show/28187230-the-woman-in-cabin-10,The Woman in Cabin 10 (Hardcover),Ruth Ware,3.72,"454,027",2016,464,crime
6566722-heat-wave,https://www.goodreads.com/book/show/6566722-heat-wave,"Heat Wave (Nikki Heat, #1)",Richard Castle,3.57,"63,842",2008,464,crime
16316,https://www.goodreads.com/book/show/16316.The_Big_Four,"The Big Four (Hercule Poirot, #5)",Agatha Christie,3.61,"43,272",1927,463,crime
194366,https://www.goodreads.com/book/show/194366.The_Return_of_Sherlock_Holmes,"The Return of Sherlock Holmes (Sherlock Holmes, #6)",Arthur Conan Doyle,4.28,"58,778",1904,460,crime
16363,https://www.goodreads.com/book/show/16363.Appointment_with_Death,"Appointment with Death (Hercule Poirot, #19)",Agatha Christie,3.89,"47,525",1938,458,crime
11367726-defending-jacob,https://www.goodreads.com/book/show/11367726-defending-jacob,Defending Jacob (Hardcover),William Landay,3.98,"286,897",2012,457,crime
976,https://www.goodreads.com/book/show/976.Deception_Point,Deception Point (Mass Market Paperback),Dan Brown,3.73,"632,802",2001,457,crime
644655,https://www.goodreads.com/book/show/644655.Raven_Black,"Raven Black (Shetland Island, #1)",Ann Cleeves,3.93,"40,859",2006,455,crime
34267285-the-trespasser,https://www.goodreads.com/book/show/34267285-the-trespasser,"The Trespasser (Dublin Murder Squad, #6)",Tana French,3.97,"74,918",2016,453,crime
16307,https://www.goodreads.com/book/show/16307.Hallowe_en_Party,"Hallowe'en Party (Hercule Poirot, #41)",Agatha Christie,3.70,"45,154",1969,453,crime
16315,https://www.goodreads.com/book/show/16315.Crooked_House,Crooked House (Paperback),Agatha Christie,4.07,"54,116",1949,448,crime
268601,https://www.goodreads.com/book/show/268601.Glory_in_Death,"Glory in Death (In Death, #2)",J.D. Robb,4.25,"57,758",1995,447,crime
31685789-room,https://www.goodreads.com/book/show/31685789-room,Room (Kindle Edition),Emma Donoghue,4.06,"768,951",2010,447,crime
39795,https://www.goodreads.com/book/show/39795.The_Dogs_of_Riga,"The Dogs of Riga (Kurt Wallander, #2)",Henning Mankell,3.74,"27,219",1992,445,crime
220968,https://www.goodreads.com/book/show/220968.One_Shot,"One Shot (Jack Reacher, #9)",Lee Child,4.21,"104,250",2005,444,crime
32257,https://www.goodreads.com/book/show/32257.The_Sinner,"The Sinner (Rizzoli & Isles, #3)",Tess Gerritsen,4.11,"52,670",2003,444,crime
43933,https://www.goodreads.com/book/show/43933.Tell_No_One,Tell No One (Mass Market Paperback),Harlan Coben,4.07,"140,646",2001,443,crime
13136,https://www.goodreads.com/book/show/13136.2nd_Chance,"2nd Chance (Women's Murder Club, #2)",James Patterson,4.05,"104,080",2002,442,crime
11093329-the-house-of-silk,https://www.goodreads.com/book/show/11093329-the-house-of-silk,"The House of Silk (Horowitz's Holmes, #1)",Anthony Horowitz,3.99,"48,135",2011,442,crime
25807,https://www.goodreads.com/book/show/25807.The_Postman_Always_Rings_Twice,The Postman Always Rings Twice (Hardcover),James M. Cain,3.80,"37,224",1934,442,crime
51807232-troubled-blood,https://www.goodreads.com/book/show/51807232-troubled-blood,"Troubled Blood (Cormoran Strike, #5)",Robert Galbraith,4.34,"85,700",2020,439,crime
2054,https://www.goodreads.com/book/show/2054.The_Long_Goodbye,The Long Goodbye (Paperback),Raymond Chandler,4.17,"40,800",1953,437,crime
13505130-the-absent-one,https://www.goodreads.com/book/show/13505130-the-absent-one,"The Absent One (Department Q, #2)",Jussi Adler-Olsen,3.89,"38,883",2008,436,crime
736131,https://www.goodreads.com/book/show/736131.The_Valley_of_Fear,"The Valley of Fear (Sherlock Holmes, #7)",Arthur Conan Doyle,3.97,"39,509",1915,432,crime
57727,https://www.goodreads.com/book/show/57727.L_A_Confidential,"L.A. Confidential (L.A. Quartet, #3)",James Ellroy,4.16,"36,195",1990,430,crime
7061,https://www.goodreads.com/book/show/7061.The_No_1_Ladies_Detective_Agency,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Alexander McCall Smith,3.80,"249,279",1998,430,crime
16342,https://www.goodreads.com/book/show/16342.Cat_Among_the_Pigeons,"Cat Among the Pigeons (Hercule Poirot, #36)",Agatha Christie,3.86,"35,183",1959,430,crime
41817486-a-clockwork-orange,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,A Clockwork Orange (Paperback),Anthony Burgess,3.99,"654,744",1962,427,crime
10305247-the-blackhouse,https://www.goodreads.com/book/show/10305247-the-blackhouse,"The Blackhouse (Lewis Trilogy, #1)",Peter  May,4.07,"35,600",2011,427,crime
128754,https://www.goodreads.com/book/show/128754.Deadly_Decisions,"Deadly Decisions (Temperance Brennan, #3)",Kathy Reichs,3.94,"34,311",2000,426,crime
28815474-the-couple-next-door,https://www.goodreads.com/book/show/28815474-the-couple-next-door,The Couple Next Door (Hardcover),Shari Lapena,3.80,"421,680",2016,422,crime
49353,https://www.goodreads.com/book/show/49353.The_Last_Coyote,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)",Michael Connelly,4.23,"67,584",1995,422,crime
