,book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre,num_likes,rating_num_like,weighted_review_score
42,35031085-frankenstein,https://www.goodreads.com/book/show/35031085-frankenstein,Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,3.83,"1,292,962",1818,10810,fiction,16571,61976.0,3.7400277593386035
43,22557272-the-girl-on-the-train,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,The Girl on the Train (Hardcover),Paula Hawkins,3.94,"2,397,514",2015,10792,fiction,18246,53848.0,2.9512221856845335
44,3263607-the-fellowship-of-the-ring,https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37,"2,522,517",1954,10777,fiction,10229,40372.0,3.946817870759605
45,168668,https://www.goodreads.com/book/show/168668.Catch_22,Catch-22 (Paperback),Joseph Heller,3.98,"767,732",1961,10634,fiction,7828,22489.0,2.872892181911088
46,12232938-the-lovely-bones,https://www.goodreads.com/book/show/12232938-the-lovely-bones,The Lovely Bones (Mass Market Paperback),Alice Sebold,3.83,"2,148,798",2002,10626,fiction,8875,20048.0,2.2589295774647886
47,18619684-the-time-traveler-s-wife,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife (ebook),Audrey Niffenegger,3.98,"1,662,247",2003,10571,fiction,8570,19025.0,2.219953325554259
48,43641,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Water for Elephants (Paperback),Sara Gruen,4.09,"1,471,651",2006,10287,fiction,4941,16233.0,3.2853673345476624
49,6185,https://www.goodreads.com/book/show/6185.Wuthering_Heights,Wuthering Heights (Paperback),Emily Brontë,3.87,"1,491,034",1847,10256,fiction,15209,54152.0,3.560523374317838
50,128029,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns (Hardcover),Khaled Hosseini,4.39,"1,276,278",2007,10205,fiction,9687,43225.0,4.4621657892020234
51,3636,https://www.goodreads.com/book/show/3636.The_Giver,"The Giver (The Giver, #1)",Lois Lowry,4.13,"2,010,928",1993,10134,fiction,8194,28613.0,3.4919453258481816
52,2956,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn (Paperback),Mark Twain,3.82,"1,200,142",1884,10045,fiction,3725,16887.0,4.533422818791946
53,2165,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,The Old Man and the Sea (Hardcover),Ernest Hemingway,3.79,"933,329",1952,10028,fiction,10797,37596.0,3.4820783550986385
