book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
35133922-educated,https://www.goodreads.com/book/show/35133922-educated,Educated (Hardcover),Tara Westover,4.46,"1,058,449",2018,667,religion
110763,https://www.goodreads.com/book/show/110763.The_Gnostic_Gospels,The Gnostic Gospels (Paperback),Elaine Pagels,3.90,"17,366",1979,637,religion
472025,https://www.goodreads.com/book/show/472025.Why_I_Am_Not_a_Christian_and_Other_Essays_on_Religion_and_Related_Subjects,Why I Am Not a Christian and Other Essays on Religion and Related Subjects (Paperback),Bertrand Russell,4.02,"19,411",1957,635,religion
4989,https://www.goodreads.com/book/show/4989.The_Red_Tent,The Red Tent (Hardcover),Anita Diamant,4.18,"550,461",1997,616,religion
15997,https://www.goodreads.com/book/show/15997.Paradise_Lost,Paradise Lost (Paperback),John Milton,3.81,"152,079",1667,615,religion
159964,https://www.goodreads.com/book/show/159964.The_Dhammapada,The Dhammapada (Paperback),Anonymous,4.24,"26,133",-400,606,religion
10285,https://www.goodreads.com/book/show/10285.The_World_s_Religions,The World's Religions (Paperback),Huston Smith,3.99,"13,082",1958,598,religion
29797,https://www.goodreads.com/book/show/29797.The_Pilgrim_s_Progress,The Pilgrim's Progress (Paperback),John Bunyan,4.00,"121,899",1684,597,religion
28881,https://www.goodreads.com/book/show/28881.Lamb,"Lamb: The Gospel According to Biff, Christ's Childhood Pal (Paperback)",Christopher Moore,4.20,"166,642",2002,594,religion
1566053,https://www.goodreads.com/book/show/1566053.The_Portable_Atheist,The Portable Atheist: Essential Readings for the Nonbeliever (Paperback),Christopher Hitchens,4.02,"17,628",2007,576,religion
960,https://www.goodreads.com/book/show/960.Angels_Demons,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.92,"2,885,907",2000,544,religion
13650513-the-problem-of-pain,https://www.goodreads.com/book/show/13650513-the-problem-of-pain,The Problem of Pain (Paperback),C.S. Lewis,4.08,"54,104",1940,540,religion
11324722-the-righteous-mind,https://www.goodreads.com/book/show/11324722-the-righteous-mind,The Righteous Mind: Why Good People Are Divided by Politics and Religion (Hardcover),Jonathan Haidt,4.18,"44,305",2012,539,religion
6340873-the-evolution-of-god,https://www.goodreads.com/book/show/6340873-the-evolution-of-god,The Evolution of God (Hardcover),Robert Wright,3.94,"7,075",2009,538,religion
81227,https://www.goodreads.com/book/show/81227.Infidel,Infidel (Hardcover),Ayaan Hirsi Ali,4.13,"92,879",2006,536,religion
87665,https://www.goodreads.com/book/show/87665.Orthodoxy,Orthodoxy (Paperback),G.K. Chesterton,4.13,"35,098",1908,516,religion
6101996-jesus-interrupted,https://www.goodreads.com/book/show/6101996-jesus-interrupted,"Jesus, Interrupted: Revealing the Hidden Contradictions in the Bible & Why We Don't Know About Them (Hardcover)",Bart D. Ehrman,3.96,"8,739",2009,515,religion
15645,https://www.goodreads.com/book/show/15645.Inferno,Inferno (Paperback),Dante Alighieri,4.00,"157,403",1320,510,religion
2547,https://www.goodreads.com/book/show/2547.The_Prophet,The Prophet (Paperback),Kahlil Gibran,4.21,"261,488",1923,505,religion
73186,https://www.goodreads.com/book/show/73186.The_Case_for_Christ,The Case for Christ (Paperback),Lee Strobel,4.16,"112,046",1998,502,religion
56495,https://www.goodreads.com/book/show/56495.The_Purpose_Driven_Life,The Purpose Driven Life: What on Earth Am I Here for? (Paperback),Rick Warren,3.95,"250,007",2002,498,religion
4214,https://www.goodreads.com/book/show/4214.Life_of_Pi,Life of Pi (Paperback),Yann Martel,3.92,"1,445,243",2001,487,religion
12067,https://www.goodreads.com/book/show/12067.Good_Omens,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.24,"615,972",1990,474,religion
6656,https://www.goodreads.com/book/show/6656.The_Divine_Comedy,The Divine Comedy (Hardcover),Dante Alighieri,4.04,"135,784",1320,470,religion
6957725-a-history-of-christianity,https://www.goodreads.com/book/show/6957725-a-history-of-christianity,A History of Christianity: The First Three Thousand Years (Hardcover),Diarmaid MacCulloch,4.11,"5,466",2009,469,religion
7214,https://www.goodreads.com/book/show/7214.Blue_Like_Jazz,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality (Paperback),Donald Miller,3.89,"112,179",2003,468,religion
2067,https://www.goodreads.com/book/show/2067.Breaking_the_Spell,Breaking the Spell: Religion as a Natural Phenomenon (Hardcover),Daniel C. Dennett,3.89,"11,965",2006,468,religion
48757,https://www.goodreads.com/book/show/48757.The_Tao_of_Pooh,The Tao of Pooh (Paperback),Benjamin Hoff,3.98,"111,752",1982,465,religion
26077627-a-grief-observed,https://www.goodreads.com/book/show/26077627-a-grief-observed,A Grief Observed (Paperback),C.S. Lewis,4.16,"68,585",1961,464,religion
7933292-heaven-is-for-real,https://www.goodreads.com/book/show/7933292-heaven-is-for-real,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back (Paperback),Todd Burpo,4.00,"297,286",2010,461,religion
280111,https://www.goodreads.com/book/show/280111.Holy_Bible,Holy Bible: New International Version (Hardcover),Anonymous,4.57,"71,067",1973,452,religion
1858013,https://www.goodreads.com/book/show/1858013.The_Reason_for_God,The Reason for God: Belief in an Age of Skepticism (Hardcover),Timothy J. Keller,4.17,"58,305",2008,449,religion
100915,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.22,"2,358,847",1950,449,religion
290882,https://www.goodreads.com/book/show/290882.The_Upanishads,The Upanishads (Paperback),Anonymous,4.17,"15,059",-500,445,religion
35519,https://www.goodreads.com/book/show/35519.The_Power_of_Myth,The Power of Myth (Paperback),Joseph Campbell,4.23,"49,651",1988,444,religion
29938407-the-four-loves,https://www.goodreads.com/book/show/29938407-the-four-loves,The Four Loves (Paperback),C.S. Lewis,4.12,"50,138",1960,441,religion
7244,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,The Poisonwood Bible (Hardcover),Barbara Kingsolver,4.07,"689,576",1998,440,religion
6359293-the-case-for-god,https://www.goodreads.com/book/show/6359293-the-case-for-god,The Case for God (Hardcover),Karen Armstrong,3.79,"9,603",2001,437,religion
27309,https://www.goodreads.com/book/show/27309.The_Battle_for_God,The Battle for God: A History of Fundamentalism (Paperback),Karen Armstrong,3.94,"6,311",2000,426,religion
25673,https://www.goodreads.com/book/show/25673.City_of_God,City of God (Paperback),Augustine of Hippo,3.87,"11,722",426,424,religion
27306,https://www.goodreads.com/book/show/27306.Islam,Islam: A Short History (Paperback),Karen Armstrong,4.04,"9,437",2000,417,religion
22470,https://www.goodreads.com/book/show/22470.The_Origin_of_Satan,"The Origin of Satan: How Christians Demonized Jews, Pagans and Heretics (Paperback)",Elaine Pagels,3.91,"6,438",1995,404,religion
18774981-waking-up,https://www.goodreads.com/book/show/18774981-waking-up,Waking Up: A Guide to Spirituality Without Religion (Hardcover),Sam Harris,3.89,"39,954",2014,399,religion
851393,https://www.goodreads.com/book/show/851393.The_Imitation_of_Christ,The Imitation of Christ (Paperback),Thomas à Kempis,4.12,"22,341",1427,390,religion
28024,https://www.goodreads.com/book/show/28024.The_Sacred_and_the_Profane,The Sacred and the Profane: The Nature of Religion (Paperback),Mircea Eliade,4.11,"7,073",1956,390,religion
481749,https://www.goodreads.com/book/show/481749.Jesus_the_Christ,"Jesus the Christ: A Study of the Messiah and His Mission According to Holy Scriptures, Both Ancient and Modern (Hardcover)",James E. Talmage,4.62,"22,048",1915,376,religion
38447,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12,"1,662,528",1985,370,religion
175078,https://www.goodreads.com/book/show/175078.The_Seven_Storey_Mountain,The Seven Storey Mountain (Paperback),Thomas Merton,3.96,"20,398",1948,368,religion
53982,https://www.goodreads.com/book/show/53982.The_Great_Transformation,The Great Transformation: The Beginning of Our Religious Traditions (Paperback),Karen Armstrong,4.03,"3,627",2006,360,religion
30165203-american-gods,https://www.goodreads.com/book/show/30165203-american-gods,"American Gods (American Gods, #1)",Neil Gaiman,4.10,"828,353",2001,358,religion
38210,https://www.goodreads.com/book/show/38210.The_Art_of_Happiness,The Art of Happiness (Hardcover),Dalai Lama XIV,4.14,"105,617",1998,353,religion
334176,https://www.goodreads.com/book/show/334176.The_Sparrow,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,4.10,"72,417",1996,353,religion
20149192-how-jesus-became-god,https://www.goodreads.com/book/show/20149192-how-jesus-became-god,How Jesus Became God: The Exaltation of a Jewish Preacher from Galilee (Hardcover),Bart D. Ehrman,4.04,"4,699",2014,347,religion
68210,https://www.goodreads.com/book/show/68210.Gilead,Gilead (Paperback),Marilynne Robinson,3.83,"98,615",2004,347,religion
119073,https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose,The Name of the Rose (Paperback),Umberto Eco,4.13,"330,327",1980,345,religion
174834,https://www.goodreads.com/book/show/174834.The_Cost_of_Discipleship,The Cost of Discipleship (Paperback),Dietrich Bonhoeffer,4.25,"40,226",1937,344,religion
121732,https://www.goodreads.com/book/show/121732.Surprised_by_Joy,Surprised by Joy: The Shape of My Early Life (Paperback),C.S. Lewis,4.01,"60,227",1955,338,religion
43372,https://www.goodreads.com/book/show/43372.The_Missionary_Position,The Missionary Position: Mother Teresa in Theory and Practice (Paperback),Christopher Hitchens,4.07,"9,944",1995,338,religion
588138,https://www.goodreads.com/book/show/588138.The_Hero_With_a_Thousand_Faces,The Hero With a Thousand Faces (Paperback),Joseph Campbell,4.12,"38,309",1949,331,religion
10890,https://www.goodreads.com/book/show/10890.Traveling_Mercies,Traveling Mercies: Some Thoughts on Faith (Paperback),Anne Lamott,4.09,"47,920",1999,331,religion
402843,https://www.goodreads.com/book/show/402843.Zen_Mind_Beginner_s_Mind,"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice (Paperback)",Shunryu Suzuki,4.18,"41,576",1970,326,religion
15827066-beyond-belief,https://www.goodreads.com/book/show/15827066-beyond-belief,Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape (Hardcover),Jenna Miscavige Hill,3.72,"39,856",2013,323,religion
12576334-religion-for-atheists,https://www.goodreads.com/book/show/12576334-religion-for-atheists,Religion for Atheists: A Non-Believer's Guide to the Uses of Religion  (Hardcover),Alain de Botton,3.63,"11,203",2011,319,religion
35506,https://www.goodreads.com/book/show/35506.The_Language_of_God,The Language of God: A Scientist Presents Evidence for Belief (Hardcover),Francis S. Collins,3.78,"12,453",2006,317,religion
18144590-the-alchemist,https://www.goodreads.com/book/show/18144590-the-alchemist,The Alchemist (Paperback),Paulo Coelho,3.89,"2,405,777",1988,316,religion
13547241-unorthodox,https://www.goodreads.com/book/show/13547241-unorthodox,Unorthodox: The Scandalous Rejection of My Hasidic Roots (Paperback),Deborah Feldman,3.96,"51,903",2012,312,religion
7655375-god-is-not-one,https://www.goodreads.com/book/show/7655375-god-is-not-one,God Is Not One: The Eight Rival Religions That Run the World--and Why Their Differences Matter (Hardcover),Stephen R. Prothero,3.76,"3,396",2010,312,religion
107273,https://www.goodreads.com/book/show/107273.Lost_Christianities,Lost Christianities: The Battles for Scripture and the Faiths We Never Knew (Paperback),Bart D. Ehrman,4.05,"5,531",2002,311,religion
119322,https://www.goodreads.com/book/show/119322.The_Golden_Compass,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.00,"1,385,917",1995,310,religion
17349,https://www.goodreads.com/book/show/17349.The_Demon_Haunted_World,The Demon-Haunted World: Science as a Candle in the Dark (Paperback),Carl Sagan,4.26,"66,017",1996,309,religion
27523,https://www.goodreads.com/book/show/27523.Left_Behind,"Left Behind (Left Behind, #1)",Tim LaHaye,3.83,"216,063",1995,307,religion
3206011-crazy-love,https://www.goodreads.com/book/show/3206011-crazy-love,Crazy Love: Overwhelmed by a Relentless God (Paperback),Francis Chan,4.15,"163,167",2008,306,religion
25151238-islam-and-the-future-of-tolerance,https://www.goodreads.com/book/show/25151238-islam-and-the-future-of-tolerance,Islam and the Future of Tolerance: A Dialogue (Hardcover),Sam Harris,4.05,"6,610",2015,304,religion
1976714,https://www.goodreads.com/book/show/1976714.God_s_Problem,God's Problem: How the Bible Fails to Answer Our Most Important Question - Why We Suffer (Hardcover),Bart D. Ehrman,3.93,"5,272",2008,304,religion
40721873-love-wins,https://www.goodreads.com/book/show/40721873-love-wins,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived (Kindle Edition)",Rob Bell,3.61,"27,453",2011,303,religion
73184,https://www.goodreads.com/book/show/73184.Living_Buddha_Living_Christ,"Living Buddha, Living Christ (Paperback)",Thich Nhat Hanh,4.09,"17,008",1997,303,religion
24965,https://www.goodreads.com/book/show/24965.Fear_and_Trembling,Fear and Trembling (Paperback),Søren Kierkegaard,4.00,"21,312",1843,302,religion
37903770-norse-mythology,https://www.goodreads.com/book/show/37903770-norse-mythology,Norse Mythology (Paperback),Neil Gaiman,4.08,"262,407",2017,301,religion
386559,https://www.goodreads.com/book/show/386559.Beyond_Belief,Beyond Belief: The Secret Gospel of Thomas (Hardcover),Elaine Pagels,3.83,"7,794",2003,300,religion
34101725-god,https://www.goodreads.com/book/show/34101725-god,God: A Human History (Kindle Edition),Reza Aslan,3.99,"6,050",2017,293,religion
3525894-the-unlikely-disciple,https://www.goodreads.com/book/show/3525894-the-unlikely-disciple,The Unlikely Disciple: A Sinner's Semester at America's Holiest University (Hardcover),Kevin Roose,3.97,"11,692",2009,293,religion
22574709-searching-for-sunday,https://www.goodreads.com/book/show/22574709-searching-for-sunday,"Searching for Sunday: Loving, Leaving, and Finding the Church (Paperback)",Rachel Held Evans,4.12,"20,155",2015,292,religion
4069,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning,Man's Search for Meaning (Paperback),Viktor E. Frankl,4.35,"510,002",1946,292,religion
25825420-the-abolition-of-man,https://www.goodreads.com/book/show/25825420-the-abolition-of-man,The Abolition of Man (Paperback),C.S. Lewis,4.04,"28,033",1943,291,religion
818811,https://www.goodreads.com/book/show/818811.Escape,Escape (Hardcover),Carolyn Jessop,3.91,"45,465",2007,290,religion
25200,https://www.goodreads.com/book/show/25200.Silence,Silence (Paperback),Shūsaku Endō,4.06,"28,239",1966,289,religion
8713068-forged,https://www.goodreads.com/book/show/8713068-forged,Forged: Writing in the Name of God (Hardcover),Bart D. Ehrman,4.00,"3,003",2011,286,religion
7785194-the-moral-landscape,https://www.goodreads.com/book/show/7785194-the-moral-landscape,The Moral Landscape: How Science Can Determine Human Values (Hardcover),Sam Harris,3.91,"21,401",2010,286,religion
102104,https://www.goodreads.com/book/show/102104.Who_Wrote_the_Bible_,Who Wrote the Bible? (Paperback),Richard Elliott Friedman,4.10,"5,554",1987,280,religion
18122,https://www.goodreads.com/book/show/18122.The_Amber_Spyglass,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,4.08,"331,966",2000,276,religion
4934,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,The Brothers Karamazov (Paperback),Fyodor Dostoevsky,4.32,"272,421",1879,275,religion
408862,https://www.goodreads.com/book/show/408862.The_Golden_Bough,The Golden Bough (Paperback),James George Frazer,4.03,"8,280",1890,275,religion
26827675-troublemaker,https://www.goodreads.com/book/show/26827675-troublemaker,Troublemaker: Surviving Hollywood and Scientology (Hardcover),Leah Remini,4.00,"64,022",2015,272,religion
110795,https://www.goodreads.com/book/show/110795.Catechism_of_the_Catholic_Church,Catechism of the Catholic Church (Paperback),The Catholic Church,4.44,"9,420",1992,264,religion
747061,https://www.goodreads.com/book/show/747061.Book_of_Mormon_Doctrine_and_Covenants_Pearl_of_Great_Price,"Book of Mormon, Doctrine and Covenants, Pearl of Great Price (Paperback)",The Church of Jesus Christ of Latter-day Saints,4.35,"26,715",1950,261,religion
12781,https://www.goodreads.com/book/show/12781.The_Satanic_Verses,The Satanic Verses (Paperback),Salman Rushdie,3.70,"60,413",1988,261,religion
20758028-fields-of-blood,https://www.goodreads.com/book/show/20758028-fields-of-blood,Fields of Blood: Religion and the History of Violence (Hardcover),Karen Armstrong,3.92,"2,373",2014,260,religion
