book_title,author_name,ratings,num_of_ratings,date_published
Shantaram (Paperback),Gregory David Roberts,4.23,"191,083",2003
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.50,"778,978",2009
Transcendent Kingdom (Hardcover),Yaa Gyasi,4.14,"95,997",2020
A Walk to Remember (Kindle Edition),Nicholas Sparks,4.18,"726,658",1999
A Fine Balance (Paperback),Rohinton Mistry,4.34,"139,521",1995
The Marriage Plot (Hardcover),Jeffrey Eugenides,3.45,"114,669",2011
Giovanni's Room (Paperback),James Baldwin,4.25,"84,857",1956
Red Rising (Red Rising Saga #1),Pierce Brown,4.23,"293,174",2014
"The Andromeda Strain (Andromeda, #1)",Michael Crichton,3.91,"237,876",1969
The Glass Hotel (Hardcover),Emily St. John Mandel,3.69,"111,793",2020
The Client (Paperback),John Grisham,4.03,"419,354",1993
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,4.26,"622,920",2018
I Capture the Castle (Hardcover),Dodie Smith,4.00,"92,081",1948
The Phantom of the Opera (Paperback),Gaston Leroux,3.96,"213,408",1909
The English Patient (Hardcover),Michael Ondaatje,3.87,"121,730",1992
"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,3.98,"304,256",1865
The Woman in Cabin 10 (Hardcover),Ruth Ware,3.72,"453,129",2016
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,4.32,"314,497",1992
Disgrace (Paperback),J.M. Coetzee,3.84,"95,882",1999
Invisible Monsters (Paperback),Chuck Palahniuk,3.97,"140,162",1999
The Thorn Birds (Mass Market Paperback),Colleen McCullough,4.22,"333,302",1977
"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,4.04,"239,523",2014
Peter Pan (Hardcover),J.M. Barrie,4.02,"316,091",1911
Tender Is the Night (Paperback),F. Scott Fitzgerald,3.80,"122,825",1934
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.96,"523,183",2001
"Storm Front (The Dresden Files, #1)",Jim Butcher,3.98,"324,199",2000
Hotel on the Corner of Bitter and Sweet (Hardcover),Jamie Ford,4.01,"280,613",2009
Notes from Underground (Paperback),Fyodor Dostoevsky,4.15,"103,349",1864
The Crying of Lot 49 (Paperback),Thomas Pynchon,3.69,"81,167",1966
"I, Robot (Robot, #0.1)",Isaac Asimov,4.21,"302,426",1950
The Snow Child (Kindle Edition),Eowyn Ivey,3.97,"131,676",2012
"The Bean Trees (Greer Family, #1)",Barbara Kingsolver,3.98,"140,360",1988
The Firm (Paperback),Robin Waterfield,4.03,"598,842",1991
Snow Falling on Cedars (Paperback),David Guterson,3.85,"177,777",1994
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.35,"307,294",1996
One Day (Hardcover),David Nicholls,3.80,"306,573",2009
"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,3.86,"138,432",2001
We Need to Talk About Kevin (Paperback),Lionel Shriver,4.04,"188,236",2003
"Girl, Woman, Other (Hardcover)",Bernardine Evaristo,4.36,"152,565",2019
The Heart Is a Lonely Hunter (Paperback),Carson McCullers,3.98,"98,261",1940
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,4.18,"99,451",1993
The 7½ Deaths of Evelyn Hardcastle (Hardcover),Stuart Turton,3.88,"205,538",2018
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.34,"804,330",2007
The History of Love (Paperback),Nicole Krauss,3.91,"130,137",2005
A Midsummer Night's Dream (Paperback),William Shakespeare,3.95,"476,854",1595
Before We Were Yours (Hardcover),Lisa Wingate,4.37,"464,150",2017
Rules of Civility (Hardcover),Amor Towles,4.04,"175,318",2011
Hard-Boiled Wonderland and the End of the World (Paperback),Haruki Murakami,4.14,"114,984",1985
The Shipping News (Paperback),Annie Proulx,3.87,"135,595",1993
The Giving Tree (Hardcover),Shel Silverstein,4.37,"988,618",1964
Nine Perfect Strangers (Hardcover),Liane Moriarty,3.53,"323,396",2018
The Martian Chronicles (Paperback),Ray Bradbury,4.15,"230,350",1950
The Forgotten Garden (Paperback),Kate Morton,4.12,"208,858",2008
"My Ántonia (Great Plains Trilogy, #3)",Willa Cather,3.81,"126,399",1918
The Cider House Rules (Hardcover),John Irving,4.14,"169,159",1985
The Language of Flowers (Hardcover),Vanessa Diffenbaugh,4.08,"203,467",2011
Alias Grace (Hardcover),Margaret Atwood,4.03,"127,219",1996
The Pelican Brief (Paperback),John Grisham,4.02,"404,830",1992
The Guest List (Hardcover),Lucy Foley,3.85,"454,751",2020
"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,4.00,"100,444",1992
The Hours (Paperback),Michael Cunningham,3.94,"129,923",1998
Commonwealth (Hardcover),Ann Patchett,3.82,"154,752",2016
The Phantom Tollbooth (Paperback),Norton Juster,4.16,"271,468",1961
My Year of Rest and Relaxation (Paperback),Ottessa Moshfegh,3.70,"130,023",2018
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.03,"306,580",1981
Artemis (Hardcover),Andy Weir,3.67,"206,212",2017
Cold Mountain (Paperback),Charles Frazier,3.87,"231,626",1997
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.39,"852,413",2008
The Invention of Wings (Hardcover),Sue Monk Kidd,4.23,"288,605",2014
Before I Go to Sleep (Hardcover),S.J. Watson,3.89,"316,309",2011
One Day in the Life of Ivan Denisovich (Paperback),Aleksandr Solzhenitsyn,3.96,"99,739",1962
James and the Giant Peach (Hardcover),Roald Dahl,4.01,"419,142",1961
The Canterbury Tales (Paperback),Geoffrey Chaucer,3.52,"203,402",1400
Anthem (Paperback),Ayn Rand,3.63,"140,669",1938
Fates and Furies (Hardcover),Lauren Groff,3.58,"121,233",2015
My Dark Vanessa (Hardcover),Kate Elizabeth Russell,4.06,"167,361",2020
Colorless Tsukuru Tazaki and his years of pilgrimage (Kindle Edition),Haruki Murakami,3.86,"146,800",2013
The Sympathizer (Hardcover),Viet Thanh Nguyen,3.96,"96,369",2015
I Know This Much Is True (Paperback),Wally Lamb,4.19,"297,538",1998
A Thousand Splendid Suns (Hardcover),Khaled Hosseini,4.39,"1,276,278",2007
"The Giver (The Giver, #1)",Lois Lowry,4.13,"2,010,928",1993
The Adventures of Huckleberry Finn (Paperback),Mark Twain,3.82,"1,200,142",1884
The Old Man and the Sea (Hardcover),Ernest Hemingway,3.79,"933,329",1952
Where the Crawdads Sing (ebook),Delia Owens,4.46,"1,465,315",2018
The Stranger (Paperback),Albert Camus,3.99,"812,587",1942
"American Gods (American Gods, #1)",Neil Gaiman,4.10,"827,574",2001
Little Fires Everywhere (Paperback),Celeste Ng,4.09,"901,059",2017
The Martian (Hardcover),Andy Weir,4.40,"925,053",2011
Crime and Punishment (Paperback),Fyodor Dostoevsky,4.23,"714,574",1866
Lolita (Paperback),Vladimir Nabokov,3.88,"723,713",1955
Little Women (Paperback),Louisa May Alcott,4.11,"1,854,461",1869
The Goldfinch (Hardcover),Donna Tartt,3.92,"797,984",2013
A Man Called Ove (Hardcover),Fredrik Backman,4.35,"702,908",2012
The Little Prince (Paperback),Antoine de Saint-Exupéry,4.31,"1,615,886",1943
Eleanor Oliphant Is Completely Fine (Hardcover),Gail Honeyman,4.26,"908,529",2017
"Dune (Dune, #1)",Frank Herbert,4.24,"967,875",1965
Never Let Me Go (Paperback),Kazuo Ishiguro,3.83,"549,716",2005
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.24,"988,219",2011
The Grapes of Wrath (Hardcover),John Steinbeck,3.98,"807,578",1939
The Bell Jar (Paperback),Sylvia Plath,4.02,"681,499",1963
The Secret Life of Bees (Paperback),Sue Monk Kidd,4.07,"1,183,192",2001
The Perks of Being a Wallflower (Paperback),Stephen Chbosky,4.21,"1,419,071",1999
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62,"5,491,278",2005
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24,"862,809",2006
The Midnight Library (Hardcover),Matt Haig,4.09,"670,753",2020
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.22,"2,355,322",1950
The Night Circus (Hardcover),Erin Morgenstern,4.03,"790,873",2011
The Count of Monte Cristo (Paperback),Alexandre Dumas,4.26,"806,106",1844
Anna Karenina (Paperback),Leo Tolstoy,4.06,"730,254",1877
One Flew Over the Cuckoo's Nest (Mass Market Paperback),Ken Kesey,4.19,"674,942",1962
Dracula (Paperback),Bram Stoker,4.00,"1,048,918",1897
A Tale of Two Cities (Paperback),Charles Dickens,3.86,"861,044",1859
Middlesex (Paperback),Jeffrey Eugenides,4.01,"608,493",2002
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.45,"795,943",1954
Room (Kindle Edition),Emma Donoghue,4.06,"768,585",2010
"Divergent (Divergent, #1)",Veronica Roth,4.17,"3,275,801",2011
The Poisonwood Bible (Hardcover),Barbara Kingsolver,4.07,"689,270",1998
Fight Club (Paperback),Chuck Palahniuk,4.18,"538,041",1996
The Metamorphosis (Paperback),Franz Kafka,3.83,"749,704",1915
Great Expectations (Paperback),Charles Dickens,3.78,"706,315",1860
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.54,"745,140",1955
The Scarlet Letter (Paperback),Nathaniel Hawthorne,3.42,"760,457",1850
A Clockwork Orange (Paperback),Anthony Burgess,3.99,"654,195",1962
Sense and Sensibility (Paperback),Jane Austen,4.08,"1,037,908",1811
The Ocean at the End of the Lane (Hardcover),Neil Gaiman,4.00,"531,989",2013
The Color Purple (Paperback),Alice Walker,4.24,"575,223",1982
Circe (Hardcover),Madeline Miller,4.26,"556,886",2018
The Secret History (Paperback),Donna Tartt,4.11,"403,009",1992
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.22,"691,319",2007
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.81,"261,470",2020
"The Wide Window (A Series of Unfortunate Events, #3)",Lemony Snicket,3.93,"175,579",2000
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.06,"428,258",2008
The End of the Affair (Paperback),Graham Greene,3.89,"61,380",1951
"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,4.19,"185,959",2015
The Island of Dr. Moreau (Paperback),H.G. Wells,3.73,"107,717",1896
Pale Fire (Paperback),Vladimir Nabokov,4.09,"47,865",1962
The Reluctant Fundamentalist (Kindle Edition),Mohsin Hamid,3.71,"73,679",2007
"Wool Omnibus (Silo, #1)",Hugh Howey,4.19,"177,226",2012
The Yellow Wall-Paper (Paperback),Charlotte Perkins Gilman,4.10,"118,119",1892
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4.10,"632,453",2014
"Inkheart (Inkworld, #1)",Cornelia Funke,3.89,"405,038",2003
Before the Fall (Kindle Edition),Noah Hawley,3.72,"124,386",2016
Green Eggs and Ham (Hardcover),Dr. Seuss,4.29,"683,532",1960
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,4.16,"119,371",2017
"The Miniaturist (The Miniaturist, #1)",Jessie Burton,3.61,"130,352",2014
Her Body and Other Parties: Stories (Paperback),Carmen Maria Machado,3.91,"51,118",2017
"The Rosie Effect (Don Tillman, #2)",Graeme Simsion,3.62,"121,050",2014
A Woman Is No Man (Hardcover),Etaf Rum,4.25,"103,514",2019
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.05,"335,962",2008
Till We Have Faces (Paperback),C.S. Lewis,4.12,"63,434",1956
Behind Closed Doors (Hardcover),B.A. Paris,3.96,"377,053",2016
"Casino Royale (James Bond, #1)",Ian Fleming,3.75,"80,563",1953
It Ends with Us (Kindle Edition),Colleen Hoover,4.43,"517,759",2016
"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.35,"336,457",2007
"Cry, the Beloved Country (Hardcover)",Alan Paton,3.89,"72,196",1948
Oranges Are Not the Only Fruit (Paperback),Jeanette Winterson,3.73,"67,500",1985
"The Dry (Aaron Falk, #1)",Jane Harper,4.02,"200,006",2016
"Drums of Autumn (Outlander, #4)",Diana Gabaldon,4.32,"228,029",1996
The Scarlet Pimpernel (Paperback),Emmuska Orczy,4.05,"131,550",1905
In Five Years (Hardcover),Rebecca Serle,3.82,"211,965",2020
"Us Against You (Beartown, #2)",Fredrik Backman,4.34,"102,756",2017
Cujo (Paperback),Stephen King,3.75,"248,824",1981
All the Ugly and Wonderful Things (Hardcover),Bryn Greenwood,4.02,"119,333",2016
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.16,"264,609",1995
The Age of Miracles (Paperback),Karen Thompson Walker,3.66,"93,071",2012
Prey (Paperback),Michael Crichton,3.77,"173,969",2002
"Bird Box (Bird Box, #1)",Josh Malerman,4.02,"164,562",2014
Lullaby (Paperback),Chuck Palahniuk,3.72,"96,509",2002
"Matched (Matched, #1)",Ally Condie,3.64,"713,183",2010
Red at the Bone (Hardcover),Jacqueline Woodson,4.00,"61,001",2019
The Great Believers (Paperback),Rebecca Makkai,4.24,"94,431",2018
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.31,"299,121",1926
"The Sparrow (The Sparrow, #1)",Mary Doria Russell,4.10,"72,362",1996
Swing Time (Hardcover),Zadie Smith,3.56,"66,990",2016
Starship Troopers (Mass Market Paperback),Robert A. Heinlein,4.00,"210,036",1959
A Heartbreaking Work of Staggering Genius (Paperback),Dave Eggers,3.68,"182,427",2000
Salvage the Bones (Hardcover),Jesmyn Ward,3.93,"55,987",2011
The Thousand Autumns of Jacob de Zoet (Hardcover),David Mitchell,3.96,"65,964",2010
The Rainmaker (Paperback),John Grisham,3.96,"185,892",1995
Uncle Tom's Cabin (Paperback),Harriet Beecher Stowe,3.88,"211,157",1852
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,"878,066",2006
"The Magicians (The Magicians, #1)",Lev Grossman,3.53,"253,408",2009
Half of a Yellow Sun (Hardcover),Chimamanda Ngozi Adichie,4.30,"129,321",2006
State of Wonder (Hardcover),Ann Patchett,3.88,"174,448",2011
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,4.00,"248,153",1956
The Absolutely True Diary of a Part-Time Indian (Hardcover),Sherman Alexie,4.07,"247,956",2007
American Dirt (Hardcover),Jeanine Cummins,4.35,"374,730",2020
The Immortalists (Hardcover),Chloe  Benjamin,3.71,"176,332",2018
Steppenwolf (Paperback),Hermann Hesse,4.13,"151,134",1927
"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,4.09,"359,354",1984
Sarah's Key (Hardcover),Tatiana de Rosnay,4.16,"448,176",2006
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,4.16,"306,800",2007
The Vegetarian (Hardcover),Han Kang,3.59,"111,801",2007
The Age of Innocence (Paperback),Edith Wharton,3.96,"149,617",1920
"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.44,"480,882",2006
Where the Red Fern Grows (Mass Market Paperback),Wilson Rawls,4.08,"368,706",1961
Divine Secrets of the Ya-Ya Sisterhood (Paperback),Rebecca Wells,3.84,"535,069",1996
Orphan Train (Paperback),Christina Baker Kline,4.18,"402,839",2013
The Clan of the Cave Bear (Earth's Children #1),Jean M. Auel,4.07,"244,246",1980
Less (Kindle Edition),Andrew Sean Greer,3.66,"154,601",2017
Stranger in a Strange Land (Paperback),Robert A. Heinlein,3.92,"290,802",1961
The Reader (Hardcover),Bernhard Schlink,3.77,"184,185",1995
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Alexander McCall Smith,3.80,"249,117",1998
Small Great Things (Kindle Edition),Jodi Picoult,4.33,"301,603",2016
Convenience Store Woman (Paperback),Sayaka Murata,3.72,"118,250",2016
Bridge to Terabithia (Kindle Edition),Katherine Paterson,4.01,"489,901",1977
Convenience Store Woman (Paperback),Sayaka Murata,3.72,"118,250",2016
Jonathan Livingston Seagull (Paperback),Richard Bach,3.85,"222,204",1970
Twenty Thousand Leagues Under the Sea (Hardcover),Jules Verne,3.89,"219,949",1870
A Tale for the Time Being (Hardcover),Ruth Ozeki,4.00,"97,195",2013
Mexican Gothic (Hardcover),Silvia Moreno-Garcia,3.69,"193,012",2020
Around the World in Eighty Days (Paperback),Jules Verne,3.94,"205,278",1872
"Lamb: The Gospel According to Biff, Christ's Childhood Pal (Paperback)",Christopher Moore,4.20,"166,561",2002
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.34,"364,093",2012
"The Host (The Host, #1)",Stephenie Meyer,3.85,"953,770",2008
The House on Mango Street (Paperback),Sandra Cisneros,3.68,"144,705",1984
"Red, White & Royal Blue (Paperback)",Casey McQuiston,4.22,"391,635",2019
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,3.99,"272,802",1968
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,4.18,"211,309",1982
'Salem's Lot (Paperback),Stephen King,4.04,"370,130",1975
The Crucible (Paperback),Arthur  Miller,3.60,"355,195",1953
White Noise (Paperback),Don DeLillo,3.87,"92,613",1985
Stoner (Paperback),John  Williams,4.29,"121,400",1965
"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,4.04,"421,427",1980
"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",Rachel Joyce,3.91,"162,392",2012
Song of Solomon (Paperback),Toni Morrison,4.10,"94,745",1977
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.17,"441,204",1990
The Girls (Hardcover),Emma Cline,3.49,"178,963",2016
If on a Winter's Night a Traveler (Paperback),Italo Calvino,4.04,"81,953",1979
Ubik (Paperback),Philip K. Dick,4.07,"97,484",1969
The Kitchen God's Wife (Paperback),Amy Tan,4.00,"81,901",1991
Fragile Things: Short Fictions and Wonders (Hardcover),Neil Gaiman,3.91,"74,406",2006
"Song of Susannah (The Dark Tower, #6)",Stephen King,3.97,"147,065",2004
The Tempest (Mass Market Paperback),William Shakespeare,3.80,"188,137",1611
Those Who Leave and Those Who Stay (The Neapolitan Novels #3),Elena Ferrante,4.32,"106,830",2013
Leave the World Behind (Hardcover),Rumaan Alam,3.23,"85,009",2020
"The Dark Tower (The Dark Tower, #7)",Stephen King,4.23,"163,227",2004
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,3.96,"268,099",2003
A Constellation of Vital Phenomena (Paperback),Anthony Marra,4.07,"54,485",2013
The Testament (Paperback),John Grisham,3.87,"114,154",1999
"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,3.97,"134,697",1973
Then She Was Gone (Hardcover),Lisa Jewell,4.04,"318,985",2017
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.59,"373,056",2016
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,4.25,"358,140",2013
Case Histories (Jackson Brodie #1),Kate Atkinson,3.80,"105,363",2004
A Spool of Blue Thread (Hardcover),Anne Tyler,3.43,"89,006",2015
"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,3.86,"63,093",1889
"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,4.22,"234,258",1991
Still Life with Woodpecker (Paperback),Tom Robbins,4.00,"79,290",1980
The Beach (Paperback),Alex Garland,3.94,"80,295",1996
Trigger Warning: Short Fictions and Disturbances (Hardcover),Neil Gaiman,3.90,"58,235",2015
The Lacuna (Hardcover),Barbara Kingsolver,3.76,"69,860",2009
Mystic River (Paperback),Dennis Lehane,4.12,"147,829",2001
"The Bookshop on the Corner (Scottish Bookshop, #1)",Jenny Colgan,3.84,"63,963",2016
The Flatshare (Hardcover),Beth O'Leary,4.08,"198,197",2019
Can You Keep a Secret? (Paperback),Sophie Kinsella,3.84,"408,201",2003
"Sabriel (Abhorsen,  #1)",Garth Nix,4.14,"203,524",1995
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.98,"352,280",2011
House of Sand and Fog (Paperback),Andre Dubus III,3.85,"130,431",1999
A Thousand Acres (Paperback),Jane Smiley,3.80,"65,785",1991
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.16,"480,184",1957
"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,3.99,"237,273",2003
Much Ado About Nothing (Paperback),William Shakespeare,4.05,"229,140",1598
The Grownup (Hardcover),Gillian Flynn,3.57,"112,993",2014
The First Fifteen Lives of Harry August (Kindle Edition),Claire North,4.01,"78,621",2014
The Mermaid Chair (Paperback),Sue Monk Kidd,3.19,"82,737",2004
Ordinary Grace (Hardcover),William Kent Krueger,4.22,"110,046",2013
The Paying Guests (Hardcover),Sarah Waters,3.45,"78,959",2014
Demian: Die Geschichte von Emil Sinclairs Jugend (Paperback),Hermann Hesse,4.12,"85,641",1919
The Hating Game (ebook),Sally  Thorne,4.09,"307,634",2016
Leaving Time (Hardcover),Jodi Picoult,3.96,"154,421",2014
"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,4.29,"165,008",1999
"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,4.18,"249,073",1932
Animal Dreams (Paperback),Barbara Kingsolver,4.04,"69,551",1990
Suite Française (Paperback),Irène Némirovsky,3.81,"74,941",2004
The Queen's Gambit (Paperback),Walter Tevis,4.21,"66,637",1983
A Streetcar Named Desire (Paperback),Tennessee Williams,3.98,"277,760",1947
"The Valley of Horses (Earth's Children, #2)",Jean M. Auel,3.99,"84,738",1982
Ivanhoe (Paperback),Walter Scott,3.75,"93,048",1819
The Casual Vacancy (Hardcover),J.K. Rowling,3.31,"320,727",2012
A Farewell to Arms (Paperback),Ernest Hemingway,3.81,"282,726",1929
It (Paperback),Stephen King,4.24,"907,040",1986
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,3.56,"817,431",2016
"Insurgent (Divergent, #2)",Veronica Roth,4.00,"1,296,303",2012
"Insurgent (Divergent, #2)",Veronica Roth,4.00,"1,296,303",2012
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.31,"595,635",2011
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.79,"916,056",1996
1Q84 (1Q84 #1-3),Haruki Murakami,3.92,"231,901",2009
The Amazing Adventures of Kavalier & Clay (Paperback),Michael Chabon,4.17,"192,071",2000
Alice's Adventures in Wonderland / Through the Looking-Glass (Paperback),Lewis Carroll,4.06,"500,728",1871
Hamlet (Paperback),William Shakespeare,4.03,"801,074",1601
The Graveyard Book (Hardcover),Neil Gaiman,4.13,"485,338",2008
The Thirteenth Tale (Hardcover),Diane Setterfield,3.96,"296,769",2006
Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,3.83,"441,856",1886
Do Androids Dream of Electric Sheep? (Kindle Edition),Philip K. Dick,4.08,"387,869",1968
A Prayer for Owen Meany (Paperback),John Irving,4.23,"297,688",1989
Go Set a Watchman (To Kill a Mockingbird),Harper Lee,3.32,"249,716",2015
Pachinko (Kindle Edition),Min Jin Lee,4.28,"283,950",2017
Mrs. Dalloway (Hardcover),Virginia Woolf,3.79,"248,752",1925
Breakfast of Champions (Paperback),Kurt Vonnegut Jr.,4.07,"238,467",1973
Anxious People (Paperback),Fredrik Backman,4.22,"314,121",2019
The Silent Patient (Hardcover),Alex Michaelides,4.12,"837,182",2019
"Holes (Holes, #1)",Louis Sachar,3.98,"1,057,806",1998
Digital Fortress (Paperback),Dan Brown,3.68,"595,634",1998
Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,4.22,"448,188",2019
Deception Point (Mass Market Paperback),Dan Brown,3.73,"632,418",2001
An American Marriage (Hardcover),Tayari Jones,3.95,"307,014",2018
Dark Places (Hardcover),Gillian Flynn,3.93,"651,020",2009
Such a Fun Age (Hardcover),Kiley Reid,3.84,"354,735",2019
"The Gunslinger (The Dark Tower, #1)",Stephen King,3.94,"552,777",1982
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.00,"242,078",2003
The Time Machine (Paperback),H.G. Wells,3.90,"458,523",1895
Perfume: The Story of a Murderer (Paperback),Patrick Süskind,4.02,"383,957",1985
Eleanor & Park (Hardcover),Rainbow Rowell,4.00,"987,038",2012
The Memory Keeper's Daughter (Paperback),Kim Edwards,3.68,"581,107",2005
Infinite Jest (Paperback),David Foster Wallace,4.26,"81,324",1996
The Red Tent (Hardcover),Anita Diamant,4.18,"550,099",1997
Invisible Man (Paperback),Ralph Ellison,3.89,"167,117",1952
The Plague (Paperback),Albert Camus,4.01,"202,616",1947
The Great Alone (Kindle Edition),Kristin Hannah,4.35,"489,923",2018
Bel Canto (Paperback),Ann Patchett,3.92,"257,668",2001
"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.87,"526,387",2013
"The Godfather (The Godfather, #1)",Mario Puzo,4.35,"370,640",1969
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,4.20,"274,144",2019
"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.04,"460,631",1955
For Whom the Bell Tolls (Paperback),Ernest Hemingway,3.97,"263,938",1940
Macbeth (Paperback),William Shakespeare,3.90,"745,436",1606
The Bluest Eye (Paperback),Toni Morrison,4.08,"197,772",1970
Oliver Twist (Paperback),Charles Dickens,3.87,"346,873",1838
Gone with the Wind (Mass Market Paperback),Margaret Mitchell,4.30,"1,135,723",1936
The Secret Garden (Hardcover),Frances Hodgson Burnett,4.13,"996,751",1910
The Remains of the Day (Paperback),Kazuo Ishiguro,4.13,"232,939",1989
Big Little Lies (Paperback),Liane Moriarty,4.28,"846,554",2014
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.14,"668,904",2005
The Sun Also Rises (Paperback),Ernest Hemingway,3.81,"386,738",1926
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.53,"705,385",2000
"Watership Down (Watership Down, #1)",Richard  Adams,4.06,"456,150",1972
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.54,"586,975",1995
Persuasion (Paperback),Jane Austen,4.14,"574,380",1817
The Underground Railroad (Hardcover),Colson Whitehead,4.04,"342,826",2016
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.27,"822,377",1908
The Brief Wondrous Life of Oscar Wao (Hardcover),Junot Díaz,3.89,"245,389",2007
11/22/63 (Hardcover),Stephen King,4.30,"472,959",2011
"Outlander (Outlander, #1)",Diana Gabaldon,4.23,"914,050",1991
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.56,"1,628,736",2006
The Nightingale (Hardcover),Kristin Hannah,4.57,"869,496",2015
On the Road (Paperback),Jack Kerouac,3.62,"375,322",1957
"Neverwhere (London Below, #1)",Neil Gaiman,4.16,"470,597",1996
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,4.45,"622,448",2017
The Song of Achilles (Paperback),Madeline Miller,4.41,"555,571",2011
Sharp Objects (Paperback),Gillian Flynn,3.99,"801,741",2006
"Inferno (Robert Langdon, #4)",Dan Brown,3.86,"512,805",2013
War and Peace (Paperback),Leo Tolstoy,4.13,"289,577",1869
Looking for Alaska (Paperback),John Green,4.00,"1,274,452",2005
A Tree Grows in Brooklyn (Paperback),Betty  Smith,4.28,"414,400",1943
A Little Life (Hardcover),Hanya Yanagihara,4.31,"300,389",2015
The God of Small Things (Hardcover),Arundhati Roy,3.95,"265,097",1997
The Five People You Meet in Heaven (Paperback),Mitch Albom,3.95,"625,023",2003
The Master and Margarita (Paperback),Mikhail Bulgakov,4.28,"277,503",1967
