book_title,author_name,ratings,num_of_ratings,date_published
"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,3.88,"145,726",1988
The Magic Mountain (Paperback),Thomas Mann,4.08,"43,649",1924
The New York Trilogy (Paperback),Paul Auster,3.86,"71,534",1987
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.88,"203,920",2004
"Wolves of the Calla (The Dark Tower, #5)",Stephen King,4.16,"171,060",2003
News of the World (Hardcover),Paulette Jiles,4.09,"90,999",2016
Burial Rites (Hardcover),Hannah Kent,4.00,"103,690",2013
"A Dirty Job (Grim Reaper, #1)",Christopher Moore,4.00,"119,430",2006
Lilac Girls (Hardcover),Martha Hall Kelly,4.27,"251,765",2016
House Rules (Hardcover),Jodi Picoult,4.01,"159,231",2010
"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,3.86,"534,727",2004
The Penelopiad (Hardcover),Margaret Atwood,3.71,"55,408",2005
Dead Souls (Paperback),Nikolai Gogol,3.96,"73,948",1842
The Nix (Hardcover),Nathan  Hill,4.05,"67,415",2016
The Dharma Bums (Paperback),Jack Kerouac,3.90,"91,413",1958
Night Film (Paperback),Marisha Pessl,3.79,"91,674",2013
In Cold Blood (Paperback),Truman Capote,4.06,"588,664",1965
Julius Caesar (Paperback),William Shakespeare,3.69,"183,894",1599
The Pilgrim's Progress (Paperback),John Bunyan,3.99,"121,768",1684
"Legend (Legend, #1)",Marie Lu,4.16,"468,791",2011
Haunted (Paperback),Chuck Palahniuk,3.60,"104,188",2005
"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",Seth Grahame-Smith,3.70,"138,348",2010
Drive Your Plow Over the Bones of the Dead (Audible Audio),Olga Tokarczuk,3.96,"53,954",2009
The Zombie Room (Kindle Edition),R.D. Ronald,4.20,"97,034",2012
"The Forever War (The Forever War, #1)",Joe Haldeman,4.13,"153,662",1974
Master and Commander (Paperback),Patrick O'Brian,4.04,"55,274",1969
"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",Helen Fielding,3.60,"108,313",1999
"Are You There God? It's Me, Margaret (Hardcover)",Judy Blume,3.90,"204,221",1970
Daughter of Fortune (Paperback),Isabel Allende,3.90,"123,927",1998
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.92,"79,562",1955
The Girl with the Louding Voice (Hardcover),Abi Daré,4.46,"88,990",2020
The Neverending Story (Hardcover),Michael Ende,4.15,"184,919",1979
"Anne of the Island (Anne of Green Gables, #3)",L.M. Montgomery,4.23,"150,155",1915
"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,4.01,"162,727",1987
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia (Paperback)",Elizabeth Gilbert,3.59,"1,587,418",2006
Dear Edward (Hardcover),Ann Napolitano,4.10,"123,030",2020
Behold the Dreamers (Paperback),Imbolo Mbue,3.93,"71,183",2016
How to Stop Time (Paperback),Matt Haig,3.86,"98,411",2017
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.29,"875,426",2009
"Guards! Guards! (Discworld, #8; City Watch #1)",Terry Pratchett,4.28,"185,329",1989
The Kitchen House (Paperback),Kathleen Grissom,4.18,"252,854",2010
Childhood's End (Mass Market Paperback),Arthur C. Clarke,4.10,"144,119",1953
"Tropic of Cancer (Tropic, #1)",Henry Miller,3.67,"69,507",1934
The Storyteller (Hardcover),Jodi Picoult,4.25,"190,050",2013
"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,4.02,"96,452",2007
Seveneves (Kindle Edition),Neal Stephenson,3.98,"106,200",2015
All the King's Men (Paperback),Robert Penn Warren,4.06,"62,296",1946
Howards End (Paperback),E.M. Forster,3.94,"84,557",1910
"Dandelion Wine (Green Town, #1)",Ray Bradbury,4.05,"62,871",1957
The Particular Sadness of Lemon Cake (Hardcover),Aimee Bender,3.24,"64,193",2010
True Grit (Paperback),Charles Portis,4.12,"50,566",1968
"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers,4.15,"97,588",2014
Writers & Lovers (Hardcover),Lily King,4.07,"82,173",2020
"Shadow of Night (All Souls Trilogy, #2)",Deborah Harkness,4.04,"216,246",2012
The Complete Stories and Poems (Hardcover),Edgar Allan Poe,4.37,"238,070",1849
Severance (Hardcover),Ling  Ma,3.86,"55,506",2018
"The Power of One (The Power of One, #1)",Bryce Courtenay,4.31,"84,952",1989
"Patriot Games (Jack Ryan, #1)",Tom Clancy,4.14,"200,371",1987
Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,3.98,"408,388",1997
Code Name Verity (Paperback),Elizabeth Wein,4.00,"110,495",2012
Contact (Mass Market Paperback),Carl Sagan,4.12,"134,690",1985
I'll Give You the Sun (Hardcover),Jandy Nelson,4.14,"292,174",2014
"The Likeness (Dublin Murder Squad, #2)",Tana French,4.04,"149,059",2008
"Stargirl (Stargirl, #1)",Jerry Spinelli,3.76,"316,026",2000
Silas Marner (Paperback),George Eliot,3.66,"80,940",1861
The Secret Keeper (Hardcover),Kate Morton,4.12,"149,815",2012
A Scanner Darkly (Paperback),Philip K. Dick,4.00,"105,880",1977
The Elephant Tree (Paperback),R.D. Ronald,4.19,"98,770",2010
Second Foundation (Foundation #3),Isaac Asimov,4.25,"162,234",1953
"South of the Border, West of the Sun (Paperback)",Haruki Murakami,3.88,"99,259",1992
"The Light Fantastic (Discworld, #2; Rincewind #2)",Terry Pratchett,3.96,"139,133",1986
Plain Truth (Hardcover),Jodi Picoult,3.97,"173,222",2000
The Ten Thousand Doors of January (Hardcover),Alix E. Harrow,4.06,"83,438",2019
The Couple Next Door (Hardcover),Shari Lapena,3.80,"420,656",2016
Swamplandia! (Kindle Edition),Karen Russell,3.28,"56,901",2011
"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,3.95,"252,110",2002
This Side of Paradise (Paperback),F. Scott Fitzgerald,3.65,"67,952",1920
"Hollow City (Miss Peregrine's Peculiar Children, #2)",Ransom Riggs,4.03,"226,335",2014
The Sorrows of Young Werther (Paperback),Johann Wolfgang von Goethe,3.68,"100,492",1774
The Bonesetter's Daughter (Paperback),Amy Tan,3.98,"127,177",2001
Less Than Zero (Paperback),Bret Easton Ellis,3.58,"82,605",1985
Exhalation (Kindle Edition),Ted Chiang,4.26,"60,266",2019
Washington Black (Hardcover),Esi Edugyan,3.96,"57,517",2018
"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,3.97,"93,715",2013
The Prime of Miss Jean Brodie (Paperback),Muriel Spark,3.73,"46,145",1961
"The Fiery Cross (Outlander, #5)",Diana Gabaldon,4.21,"194,570",2001
Go Ask Alice (Paperback),Beatrice Sparks,3.75,"253,201",1971
Ella Minnow Pea: A Novel in Letters (Paperback),Mark Dunn,3.88,"37,237",2001
The Bridges of Madison County (Mass Market Paperback),Robert James Waller,3.64,"88,056",1992
Player Piano (Paperback),Kurt Vonnegut Jr.,3.88,"49,266",1952
"The Ersatz Elevator (A Series of Unfortunate Events, #6)",Lemony Snicket,4.03,"132,254",2001
Joyland (Paperback),Stephen King,3.92,"139,326",2013
The Jane Austen Book Club (Paperback),Karen Joy Fowler,3.12,"70,252",2004
"Fool Moon (The Dresden Files, #2)",Jim Butcher,3.99,"181,195",2001
"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,4.33,"122,163",2010
The Man Who Was Thursday: A Nightmare (Paperback),G.K. Chesterton,3.81,"37,640",1908
"Still Me (Me Before You, #3)",Jojo Moyes,4.12,"170,249",2018
انتحار فاشل (Paperback),أحمد جمال الدين رمضان,4.53,"2,627",2016
A Painted House (Paperback),John Grisham,3.71,"90,080",2001
Tipping the Velvet (Paperback),Sarah Waters,4.02,"63,490",1998
The Long Walk (Mass Market Paperback),Richard Bachman,4.08,"150,046",1979
Jitterbug Perfume (Paperback),Tom Robbins,4.19,"74,904",1984
"The Diamond Age: Or, a Young Lady's Illustrated Primer (Paperback)",Neal Stephenson,4.14,"89,894",1995
The Lost Apothecary (Hardcover),Sarah Penner,3.78,"127,775",2021
"Carry On (Simon Snow, #1)",Rainbow Rowell,4.19,"259,672",2015
Quidditch Through the Ages (Hogwarts Library),J.K. Rowling,3.81,"169,154",2001
The Memory Police (Hardcover),Yōko Ogawa,3.77,"47,961",1994
Jude the Obscure (Paperback),Thomas Hardy,3.81,"68,768",1895
"Xenocide (Ender's Saga, #3)",Orson Scott Card,3.80,"150,800",1991
"The Blade Itself (The First Law, #1)",Joe Abercrombie,4.17,"191,238",2006
Solaris (Paperback),Stanisław Lem,3.99,"84,190",1961
Between Shades of Gray (Hardcover),Ruta Sepetys,4.34,"194,107",2011
Welcome to the Monkey House (Paperback),Kurt Vonnegut Jr.,4.10,"58,783",1968
The Great Divorce (Paperback),C.S. Lewis,4.28,"121,881",1945
The Chamber (Paperback),John Grisham,3.81,"134,834",1994
My Name Is Red (Paperback),Orhan Pamuk,3.86,"51,749",1998
Special Topics in Calamity Physics (Hardcover),Marisha Pessl,3.71,"48,909",2006
The Robber Bride (Paperback),Margaret Atwood,3.81,"45,938",1993
Eleven Minutes (Paperback),Paulo Coelho,3.70,"159,727",2003
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.41,"477,632",2011
The Prince and the Pauper (Paperback),Mark Twain,3.86,"111,051",1881
The Unhoneymooners (Paperback),Christina Lauren,4.02,"274,099",2019
The Lathe of Heaven (Paperback),Ursula K. Le Guin,4.11,"60,131",1971
A Place for Us (Hardcover),Fatima Farheen Mirza,4.16,"48,476",2018
"Left Behind (Left Behind, #1)",Tim LaHaye,3.83,"215,937",1995
The Wonder (Hardcover),Emma Donoghue,3.62,"74,263",2016
Crossing to Safety (Paperback),Wallace Stegner,4.16,"40,912",1987
Disappearing Earth (Hardcover),Julia  Phillips,3.87,"43,474",2019
Where the Forest Meets the Stars (Hardcover),Glendy Vanderah,4.12,"145,471",2019
The Essex Serpent (Hardcover),Sarah Perry,3.57,"50,203",2016
The Jungle Book (Paperback),Rudyard Kipling,3.91,"111,284",1894
Dance Dance Dance (The Rat #4),Haruki Murakami,4.05,"73,225",1988
Madame Bovary (Paperback),Gustave Flaubert,3.69,"281,630",1856
And the Mountains Echoed (Hardcover),Khaled Hosseini,4.05,"333,677",2012
The Storied Life of A.J. Fikry (Hardcover),Gabrielle Zevin,3.99,"219,647",2014
American Psycho (Paperback),Bret Easton Ellis,3.82,"269,445",1991
Northanger Abbey (Paperback),Jane Austen,3.84,"334,378",1817
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.12,"1,445,029",1996
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.00,"522,454",1976
Stardust (Paperback),Neil Gaiman,4.08,"396,263",1998
Paper Towns (Paperback),John Green,3.76,"1,079,932",2008
"Foundation (Foundation, #1)",Isaac Asimov,4.17,"457,710",1951
"Wonder (Wonder, #1)",R.J. Palacio,4.40,"883,827",2012
The Light Between Oceans (Hardcover),M.L. Stedman,4.02,"428,806",2012
"Beartown (Beartown, #1)",Fredrik Backman,4.26,"267,560",2016
The Namesake (Paperback),Jhumpa Lahiri,3.99,"249,292",2003
My Brilliant Friend (The Neapolitan Novels #1),Elena Ferrante,3.97,"244,795",2011
A Visit from the Goon Squad (Hardcover),Jennifer Egan,3.67,"188,644",2010
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,"2,168,871",2011
Blindness (Kindle Edition),José Saramago,4.15,"231,887",1995
The Husband's Secret (Hardcover),Liane Moriarty,3.95,"583,402",2013
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.25,"574,653",1956
Candide (Paperback),Voltaire,3.77,"239,223",1759
Coraline (Paperback),Neil Gaiman,4.06,"557,849",2002
"Life After Life (Todd Family, #1)",Kate Atkinson,3.76,"213,423",2013
Jonathan Strange & Mr Norrell (Paperback),Susanna Clarke,3.83,"222,041",2004
The Virgin Suicides (Paperback),Jeffrey Eugenides,3.83,"252,186",1993
The Historian (Kindle Edition),Elizabeth Kostova,3.79,"259,338",2005
To the Lighthouse (Paperback),Virginia Woolf,3.78,"150,010",1927
"Neuromancer (Sprawl, #1)",William Gibson,3.90,"284,625",1984
Dark Matter (Hardcover),Blake Crouch,4.10,"318,734",2016
The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,4.25,"417,570",2020
"Allegiant (Divergent, #3)",Veronica Roth,3.62,"919,988",2013
Gulliver's Travels: Travels into Several Remote Nations of the World. (Paperback),Jonathan Swift,3.58,"247,581",1726
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.14,"738,435",1964
Girl with a Pearl Earring (Paperback),Tracy Chevalier,3.91,"670,875",1999
